"Age","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Lng","Y.A","AY.A","Y.C","Y.G","Rate","QBR","Sk","Yds.1","NY.A","ANY.A","Sk.","X4QC","Wins"
28,255,386,66.1,3250,25,6.5,7,1.8,80,8.4,8.9,12.7,250,106.2,70,20,118,7.71,8.17,4.9,3,10
26,242,380,63.7,3035,20,5.3,6,1.6,63,8,8.3,12.5,216.8,99.4,65.3,36,212,6.79,7.1,8.7,1,7
22,230,370,62.2,2818,19,5.1,10,2.7,61,7.6,7.4,12.3,234.8,91.5,53.3,38,258,6.27,6.1,9.3,2,3
30,224,369,60.7,2606,19,5.1,7,1.9,49,7.1,7.2,11.6,236.9,91.4,56.1,25,185,6.14,6.31,6.3,1,5
26,190,337,56.4,2052,7,2.1,10,3,68,6.1,5.2,10.8,186.5,69,28.1,14,98,5.57,4.68,4,1,4
39,198,331,59.8,2249,9,2.7,17,5.1,75,6.8,5,11.4,224.9,67.9,43.9,16,95,6.21,4.52,4.6,3,7
26,162,293,55.3,1881,15,5.1,12,4.1,87,6.4,5.6,11.6,268.7,74.9,49.4,15,88,5.82,5.04,4.9,1,2
36,186,292,63.7,2109,12,4.1,4,1.4,56,7.2,7.4,11.3,263.6,93.3,50.3,23,137,6.26,6.45,7.3,1,1
26,178,282,63.1,2031,10,3.5,7,2.5,71,7.2,6.8,11.4,253.9,86.2,37.8,25,164,6.08,5.71,8.1,2,3
25,170,275,61.8,1967,10,3.6,6,2.2,72,7.2,6.9,11.6,245.9,86.4,53,23,151,6.09,5.86,7.7,2,5
40,156,256,60.9,1690,9,3.5,5,2,57,6.6,6.4,10.8,211.3,84,48,16,101,5.84,5.68,5.9,1,5
35,83,121,68.6,884,5,4.1,7,5.8,39,7.3,5.5,10.7,221,79.4,54.9,6,35,6.69,4.99,4.7,1,3
25,52,84,61.9,561,3,3.6,3,3.6,58,6.7,5.8,10.8,80.1,78.5,38.1,6,45,5.73,4.9,6.7,0,0
34,52,80,65,540,3,3.8,4,5,48,6.8,5.3,10.4,270,76,42.1,3,27,6.18,4.73,3.6,0,1
35,40,66,60.6,371,2,3,1,1.5,72,5.6,5.5,9.3,74.2,79.8,31.8,10,53,4.18,4.12,13.2,1,2
28,28,57,49.1,370,3,5.3,1,1.8,61,6.5,6.8,13.2,92.5,80.3,46.5,5,33,5.44,5.68,8.1,1,2
26,32,55,58.2,513,3,5.5,4,7.3,88,9.3,7.1,16,73.3,77.3,43.8,2,17,8.7,6.6,3.5,0,1
37,471,673,70,5208,37,5.5,15,2.2,98,7.7,7.8,11.1,325.5,101.7,65.1,27,184,7.18,7.27,3.9,2,7
31,436,672,64.9,4317,20,3,15,2.2,95,6.4,6,9.9,269.8,83.5,52.7,33,243,5.78,5.39,4.7,2,8
24,368,625,58.9,3905,23,3.7,16,2.6,51,6.2,5.8,10.6,244.1,78.8,42.8,34,197,5.63,5.23,5.2,1,3
33,401,610,65.7,4428,40,6.6,7,1.1,60,7.3,8.1,11,276.8,104.2,73.8,35,246,6.48,7.24,5.4,0,10
24,379,607,62.4,3782,16,2.6,14,2.3,73,6.2,5.7,10,236.4,79.3,49.4,33,213,5.58,5.09,5.2,1,7
28,406,606,67,4917,25,4.1,12,2,80,8.1,8,12.1,307.3,97.2,66.1,23,190,7.52,7.45,3.7,4,8
35,377,598,63,4027,26,4.3,16,2.7,75,6.7,6.4,10.7,251.7,86,49.3,21,142,6.28,5.95,3.4,3,11
37,364,597,61,4233,26,4.4,14,2.3,80,7.1,6.9,11.6,282.2,87.2,54.5,40,281,6.2,6.03,6.3,1,6
28,388,594,65.3,4327,24,4,10,1.7,73,7.3,7.3,11.2,270.4,93.3,66.5,37,216,6.52,6.56,5.9,8,9
35,349,578,60.4,4386,33,5.7,21,3.6,59,7.6,7.1,12.6,274.1,87.9,57.5,36,188,6.84,6.37,5.9,1,5
22,345,567,60.8,4090,28,4.9,18,3.2,45,7.2,6.8,11.9,255.6,86.1,59.7,35,239,6.4,5.98,5.8,1,9
29,364,563,64.7,4206,18,3.2,8,1.4,86,7.5,7.5,11.6,262.9,91.8,50.8,41,264,6.53,6.53,6.8,2,6
25,357,560,63.8,3937,28,5,6,1.1,75,7,7.5,11,262.5,96.7,54.6,16,79,6.7,7.2,2.8,7,12
29,395,552,71.6,3877,20,3.6,5,0.9,71,7,7.3,9.8,258.5,99.3,57.3,37,276,6.11,6.41,6.3,1,7
28,353,546,64.7,4219,21,3.8,11,2,59,7.7,7.6,12,263.7,92.6,56.8,41,293,6.69,6.56,7,4,10
27,346,545,63.5,4240,31,5.7,13,2.4,64,7.8,7.8,12.3,282.7,96.4,65.9,41,268,6.78,6.84,7,4,8
31,373,534,69.9,4944,38,7.1,7,1.3,76,9.3,10.1,13.3,309,117.1,79.4,37,235,8.25,9.03,6.5,1,11
26,301,510,59,2957,15,2.9,16,3.1,53,5.8,5,9.8,197.1,72.2,49.5,27,206,5.12,4.34,5,2,8
34,328,509,64.4,3819,29,5.7,13,2.6,72,7.5,7.5,11.6,272.8,95.4,61.8,17,141,6.99,6.98,3.2,2,10
32,328,489,67.1,3502,15,3.1,8,1.6,80,7.2,7,10.7,233.5,91.2,58,28,140,6.5,6.39,5.4,3,11
25,289,486,59.5,3401,18,3.7,10,2.1,76,7,6.8,11.8,242.9,84.6,48.4,31,187,6.22,6.04,6,3,8
23,311,459,67.8,3667,23,5,4,0.9,83,8,8.6,11.8,229.2,104.9,78.8,25,143,7.28,7.86,5.2,5,13
23,276,451,61.2,3426,26,5.8,9,2,60,7.6,7.9,12.4,228.4,95.6,59.4,23,156,6.9,7.14,4.9,2,8
27,269,436,61.7,3023,17,3.9,6,1.4,84,6.9,7.1,11.2,201.5,89.7,61.4,42,192,5.92,6.07,8.8,1,7
39,291,432,67.4,3554,28,6.5,2,0.5,79,8.2,9.3,12.2,296.2,112.2,79.1,15,87,7.76,8.81,3.4,1,11
28,261,389,67.1,2995,19,4.9,12,3.1,74,7.7,7.3,11.5,230.4,93.5,49.4,29,216,6.65,6.27,6.9,3,8
29,196,331,59.2,2241,16,4.8,4,1.2,65,6.8,7.2,11.4,186.8,90.7,49.5,36,207,5.54,5.92,9.8,1,1
28,196,322,60.9,2201,9,2.8,11,3.4,65,6.8,5.9,11.2,220.1,76.4,37.1,23,140,5.97,5.06,6.7,1,4
25,75,133,56.4,809,3,2.3,7,5.3,52,6.1,4.2,10.8,134.8,60,16.1,13,79,5,3.25,8.9,1,1
32,55,87,63.2,721,8,9.2,3,3.4,66,8.3,8.6,13.1,180.3,105.6,77.8,1,0,8.19,8.48,1.1,1,2
27,53,86,61.6,558,4,4.7,2,2.3,51,6.5,6.4,10.5,69.8,86.3,43.8,4,34,5.82,5.71,4.4,1,1
26,46,73,63,461,0,0,0,0,32,6.3,6.3,10,153.7,80.9,60.6,5,36,5.45,5.45,6.4,2,1
25,43,63,68.3,502,4,6.3,0,0,37,8,9.2,11.7,83.7,113.3,86,3,15,7.38,8.59,4.5,1,2
40,385,581,66.3,4577,32,5.5,8,1.4,64,7.9,8.4,11.9,286.1,102.8,73.2,35,201,7.1,7.56,5.7,2,13
36,360,575,62.6,4515,28,4.9,10,1.7,75,7.9,8,12.5,282.2,96,64.1,18,120,7.41,7.6,3,2,9
36,352,571,61.6,3468,19,3.3,13,2.3,77,6.1,5.7,9.9,231.2,80.4,45.4,31,189,5.45,5.11,5.1,0,3
29,371,565,65.7,4446,29,5.1,10,1.8,71,7.9,8.1,12,277.9,99.3,65.3,47,287,6.8,7.01,7.7,1,9
35,360,561,64.2,4251,28,5,14,2.5,97,7.6,7.5,11.8,283.4,93.4,66.3,21,139,7.07,6.95,3.6,3,12
29,339,553,61.3,3983,34,6.1,11,2,74,7.2,7.5,11.7,248.9,95.4,61.7,43,322,6.14,6.45,7.2,2,9
29,347,540,64.3,4093,27,5,13,2.4,74,7.6,7.5,11.8,255.8,93.9,54.2,41,342,6.46,6.38,7.1,1,7
38,386,536,72,4334,23,4.3,8,1.5,54,8.1,8.3,11.2,270.9,103.9,64.6,20,145,7.53,7.71,3.6,2,11
32,342,529,64.7,4095,20,3.8,12,2.3,88,7.7,7.5,12,255.9,91.4,68.3,24,156,7.12,6.87,4.3,2,10
25,315,523,60.2,3687,21,4,13,2.5,75,7,6.7,11.7,230.4,84.7,59.2,24,123,6.52,6.21,4.4,1,10
26,323,515,62.7,3496,22,4.3,13,2.5,87,6.8,6.5,10.8,233.1,86.4,51,20,101,6.35,6.07,3.7,1,6
33,341,505,67.5,4042,26,5.1,5,1,79,8,8.6,11.9,269.5,104.7,67,35,207,7.1,7.65,6.5,1,9
30,297,496,59.9,3320,25,5,12,2.4,77,6.7,6.6,11.2,207.5,86.6,45.7,39,255,5.73,5.65,7.3,3,7
28,291,492,59.1,3302,22,4.5,16,3.3,64,6.7,6.1,11.3,206.4,80.7,53.3,35,242,5.81,5.28,6.6,1,11
24,308,490,62.9,3324,22,4.5,13,2.7,81,6.8,6.5,10.8,207.8,86.6,69.5,32,185,6.01,5.74,6.1,0,9
29,325,481,67.6,3547,22,4.6,7,1.5,65,7.4,7.6,10.9,236.5,98.3,74.3,22,136,6.78,7.03,4.4,1,11
23,296,477,62.1,3804,28,5.9,7,1.5,94,8,8.5,12.9,253.6,100.5,52.1,25,172,7.24,7.72,5,1,11
25,276,469,58.8,3098,13,2.8,7,1.5,80,6.6,6.5,11.2,193.6,81.7,41.5,52,305,5.36,5.26,10,0,4
24,281,453,62,3232,13,2.9,15,3.3,75,7.1,6.2,11.5,215.5,79.3,58.8,27,173,6.37,5.51,5.6,3,9
23,282,442,63.8,3504,19,4.3,11,2.5,70,7.9,7.7,12.4,269.5,92.2,54,33,207,6.94,6.7,6.9,2,3
25,265,440,60.2,3296,33,7.5,7,1.6,72,7.5,8.3,12.4,253.5,101.9,77.2,28,162,6.7,7.43,6,1,11
34,266,429,62,2666,19,4.4,14,3.3,65,6.2,5.6,10,190.4,80.8,45.6,20,154,5.59,5.04,4.5,2,6
28,263,420,62.6,2799,14,3.3,4,1,47,6.7,6.9,10.6,186.6,89.2,60,46,256,5.46,5.67,9.9,1,8
38,267,397,67.3,2926,18,4.5,9,2.3,69,7.4,7.3,11,225.1,94.5,60,39,264,6.11,6,8.9,1,5
23,196,330,59.4,2193,7,2.1,7,2.1,70,6.6,6.1,11.2,182.8,77.5,31.6,31,196,5.53,5.05,8.6,0,4
